"Identificação";"Navegador *";"Pacote";"Quantidade";"Designação";"Fornecedor e referência";
1;"C2";"Elko_vert_11.2x6.3mm_RM2.5";1;"10u";;;
2;"REF**";"EuroBoard_viertel_Type-I_80mmX50mm_holes";1;"EuroBoard_viertel_Type-I_80mmX50mm_holes";;;
3;"C1";"Elko_vert_11.2x6.3mm_RM2.5";1;"1u";;;
4;"J1";"DB9FC";1;"DB9";;;
5;"R1,R2";"Resistor_Horizontal_RM10mm";2;"100K";;;
6;"R3,R4";"Resistor_Horizontal_RM10mm";2;"22K";;;
7;"R5";"Resistor_Horizontal_RM10mm";1;"15K";;;
8;"R6";"Resistor_Horizontal_RM10mm";1;"1K";;;
9;"SW1";"SW_PUSH_SMALL";1;"PTT";;;
10;"SW2";"SW_PUSH_SMALL";1;"PF2";;;
11;"SW3";"SW_PUSH_SMALL";1;"PF4";;;
12;"SW4";"SW_PUSH_SMALL";1;"PF1";;;
13;"SW5";"SW_PUSH_SMALL";1;"PF3";;;
14;"SW6";"SW_PUSH_SMALL";1;"UP";;;
15;"SW7";"SW_PUSH_SMALL";1;"DOWN";;;
16;"SW9";"SW_SPDT";1;"PTT_LOCK";;;
17;"REF**";"Symbol_CreativeCommons_CopperTop_Type2_Small";1;"Symbol_CreativeCommons_CopperTop_Type2_Small";;;
18;"J3";"RJ45_8";1;"RJ45";;;
19;"J2";"myaudiojack";1;"JACK_TRS_6PINS";;;
20;"REF**";"Symbol_OSHW-Logo_SilkScreen";1;"Symbol_OSHW-Logo_SilkScreen";;;
21;"P1";"Pin_Header_Straight_2x04";1;"CONN_02X04";;;
